Data,Position (ft),Velocity (ft/s),Acceleration (ft/s^2),Force (lbf),Mass (lbm),Density (slugs/ft^3)
max,60257.647550408794,1536.9694282750806,75.36809602188004,702.8420518049118,300.0,0.0022135216712047172
t max,81.39999999999965,25.200000000000088,1.5000000000000002,1.4000000000000001,0.0,0.0
min,2397.854679036558,-250.15486672815572,-58.837465357322245,-548.6863415354887,200.00000000000227,0.00023805514414419185
t min,497.8000000000447,106.69999999999821,25.40000000000009,25.000000000000085,81.49999999999964,81.49999999999964
